,FB,,,,AAPL,,,,,,AMZN,,,,,NFLX,,,,,GOOGL,,,,,TSLA,,,,
8/3/2020,252.65,255.4,250.33,251.96,23124900,108.01,111.44,107.7,108.74,308151200,3180.51,3184,3104,3111.89,5074700,490.86,503.09,490.23,498.62,5873100,1491,1497.73,1471.72,1482.76,2274100,289.84,301.96,288.88,297,44046500
8/4/2020,251.56,252.8,247.43,249.83,17183500,108.94,110.59,108.19,109.47,173071600,3101.21,3167.24,3101.21,3138.83,4694300,498.65,510.44,498.65,509.64,5608000,1486.71,1493.11,1464.03,1473.3,1860600,299,305.48,292.4,297.4,42075000
8/5/2020,250.19,252.27,247.77,249.12,13088400,109.18,110.19,108.7,109.86,121992000,3143.77,3213.59,3127.3,3205.03,3930000,508.68,510.1,501.2,502.11,4313500,1476.82,1490,1471.22,1479.09,1457500,298.6,299.97,293.66,297,24890000
8/6/2020,249.04,266.6,248.67,265.28,45241600,110.21,114.21,109.6,113.7,202428800,3194.36,3247.47,3165.43,3225,3940600,504.11,510.82,498.7,509.08,3725900,1476.15,1506.27,1471.9,1504.95,1665300,298.17,303.46,295.45,297.92,29961500
8/10/2020,264.08,278.89,263.43,268.44,72735500,113.21,113.68,110.29,111.11,198045600,3224.01,3240.81,3140.67,3167.46,3929600,505.45,508.29,486.68,494.73,5906700,1509.04,1520.09,1486.27,1498.37,1385900,299.91,299.95,283,290.54,44482000
8/11/2020,268.04,273.86,259.69,263,30248800,112.6,113.78,110,112.73,212403600,3170.31,3172.51,3101.52,3148.16,3167300,493.35,497.46,478.63,483.38,4691200,1490.8,1507.15,1477.49,1496.82,1027300,289.6,291.5,277.17,283.71,37611500
8/12/2020,260.19,265.92,255.13,256.13,28238300,111.97,112.48,109.11,109.38,187902400,3113.2,3159.22,3073,3080.67,3718100,479.75,480.92,466.55,466.93,7329200,1494,1510.44,1478.19,1480.54,1554900,279.2,284,273,274.88,43129000
8/13/2020,258.97,263.9,258.11,259.89,21428300,110.5,113.28,110.3,113.01,165944800,3108,3174.39,3101.42,3162.24,3527200,471.34,482.49,470.18,475.47,5441200,1487.12,1511.67,1485,1507.24,1126600,294,317,287,310.95,109494000
8/14/2020,261.55,265.16,259.57,261.3,17374000,114.43,116.04,113.93,115.01,210082000,3182.99,3217.52,3155,3161.02,3149000,478.4,484.45,476.45,481.33,3008900,1508.21,1536.97,1508.21,1516.65,1119400,322.2,330.24,313.45,324.2,102126500
8/17/2020,262.31,262.65,258.68,261.24,14792700,114.83,115,113.04,114.91,165565200,3178.18,3178.24,3120,3148.02,2751700,482.82,488.33,480.21,482.68,2943500,1513.61,1519.79,1499,1504.63,1097100,333,333.76,325.33,330.14,62888000
8/18/2020,262.5,264.1,259.4,261.16,13351100,116.06,116.09,113.96,114.61,119561600,3173.12,3194.97,3154.18,3182.41,2691200,484.19,486.24,479.1,482.35,2423500,1515.97,1523.78,1505,1516.24,999500,335.4,369.17,334.57,367.13,101211500
8/19/2020,260.95,265.15,259.26,262.34,18690400,114.35,116,114.01,115.56,105633600,3212,3320,3205.82,3312.49,5346000,484.35,495.3,482.8,491.87,3505500,1526.12,1557.37,1521.67,1555.78,1418900,379.8,384.78,369.02,377.42,82372500
8/20/2020,261.39,267.91,261.35,262.59,23291500,115.98,117.16,115.61,115.71,145538000,3303.01,3315.9,3256,3260.48,4185100,493.93,494.5,483.5,484.53,3156200,1552.49,1568.86,1540,1544.61,1523600,373,382.2,368.24,375.71,61026500
8/21/2020,261.5,269.63,261.46,269.01,20299700,115.75,118.39,115.73,118.28,126907200,3252,3312.62,3238,3297.37,3332500,484.69,498.94,483.89,497.9,5132500,1539.97,1580.17,1534.46,1576.25,1319100,372.14,404.4,371.41,400.37,103059000
8/24/2020,268.69,270.49,266.42,267.01,15538600,119.26,124.87,119.25,124.37,338054800,3295,3314.4,3275.39,3284.72,3575900,496.46,498.13,490,492.31,3921300,1571.8,1591.88,1562.31,1575.57,1741900,408.95,419.1,405.01,410,107448000
8/25/2020,271.07,277.25,268.77,271.39,23685600,128.7,128.79,123.94,125.86,345937600,3310.15,3380.32,3257.56,3307.46,4666300,495.44,501,483.16,488.81,4762200,1592.47,1608.78,1575.04,1585.15,1281900,425.26,425.8,385.5,402.84,100318000
8/26/2020,272.41,283.09,270.26,280.82,42127200,124.7,125.18,123.05,124.82,211495600,3294.99,3357.4,3267,3346.49,3992800,488.19,492.47,485.09,490.58,5727700,1580.1,1608.88,1577.88,1605.85,1257500,394.98,405.59,393.6,404.67,53294500
8/27/2020,284,304.67,284,303.91,69015200,126.18,126.99,125.08,126.52,163022400,3351.11,3451.74,3344.57,3441.85,6508700,492.5,549.04,492.08,547.53,20373700,1606.3,1652.79,1600.98,1644.13,2609400,412,433.2,410.73,430.63,71197000
8/28/2020,300.16,301.23,292.02,293.22,30301300,127.14,127.49,123.83,125.01,155552400,3450.05,3453,3378,3400,4264800,537.78,541,521.25,526.27,9062900,1646.61,1647.99,1618.81,1628.52,1567500,436.09,459.12,428.5,447.75,118465000
8/31/2020,295,297.23,290.98,293.66,17172400,126.01,126.44,124.58,124.81,187630000,3423,3433.37,3386.5,3401.8,2897000,532,539,522,523.89,4417500,1629.47,1641.35,1625.61,1639.43,1120900,459.02,463.7,437.3,442.68,100406000
9/1/2020,293.95,296.88,291.55,293.2,17345100,127.58,131,126,129.04,225702700,3408.99,3495,3405,3450.96,4185900,521.16,531.99,517.58,529.56,4941400,1643.57,1644.5,1625.33,1629.53,1321100,444.61,500.14,440.11,498.32,118374400
9/2/2020,294.71,301.49,292.71,295.44,17320900,132.76,134.8,130.53,134.18,152470100,3489.58,3513.87,3467,3499.12,3476400,532.6,557.39,532.45,556.55,9581900,1632.16,1659.22,1629.53,1655.08,1133800,502.14,502.49,470.51,475.05,90119400
9/3/2020,298.88,303.6,293.05,302.5,24341400,137.59,137.98,127,131.4,200119000,3547,3552.25,3486.69,3531.45,3931500,553.78,556.5,537.37,552.84,5886900,1668.01,1726.1,1660.19,1717.39,2476100,478.99,479.04,405.12,447.37,96176100
9/4/2020,295.99,297.6,283.63,291.12,32294100,126.91,128.84,120.5,120.88,257599600,3485,3488.41,3303,3368,8161100,545,554,521.32,525.75,9071100,1699.52,1700,1607.71,1629.51,3186300,407.23,431.8,402,407,87596100
9/7/2020,287.25,289,271.14,282.73,30333700,120.07,123.7,110.89,120.96,332607200,3318,3381.5,3111.13,3294.62,8781800,520.18,527.36,485.98,516.05,8270100,1609,1634.99,1537.97,1581.21,2792500,402.81,428,372.02,418.32,110321900
9/8/2020,271.28,279.3,269.42,271.16,24864000,113.95,118.99,112.68,112.82,231366600,3144,3250.85,3130,3149.84,6094200,498.4,522,495,507.02,5572700,1525,1555.55,1516.5,1523.6,2701600,356,368.74,329.88,330.21,115465700
9/9/2020,275.77,278.48,271.35,273.72,22918800,117.26,119.14,115.26,117.32,176940500,3202.99,3303.18,3185,3268.61,5188700,519.21,520,492.57,500.19,6848100,1548.9,1558.72,1525.17,1547.23,1962100,356.6,369,341.51,366.28,79465800
9/10/2020,275.51,279.16,267.03,268.09,24814700,120.36,120.5,112.5,113.49,182274400,3307.22,3349.89,3170.55,3175.11,5330700,503.35,506.29,478.84,480.67,6240200,1550.18,1573.66,1520,1526.05,1651200,386.21,398.99,360.56,371.34,84930600
9/11/2020,270.06,271.39,262.64,266.61,18913900,114.57,115.23,110,112,180860300,3208.69,3217.34,3083.98,3116.22,5094000,486.49,493.73,476.81,482.03,5035200,1528.15,1538.7,1493.02,1515.76,1535300,381.94,382.5,360.5,372.72,60717500
9/14/2020,270.95,276.64,265.7,266.15,24093800,114.72,115.93,112.8,115.36,140150100,3172.94,3187.39,3096,3102.97,4529600,480.62,488.99,471.3,476.26,7359100,1531.65,1557,1505.11,1508.83,2133000,380.95,420,373.3,419.62,83020600
9/15/2020,270.67,274.52,269.3,272.42,18478500,118.33,118.83,113.61,115.54,184642000,3136.16,3175.02,3108.92,3156.13,4021500,484,497.47,481.63,495.99,5337000,1527.89,1550.99,1522.1,1535.12,1152100,436.56,461.94,430.7,449.76,97298200
9/16/2020,267.29,272.44,261.79,263.52,29183400,115.23,116,112.04,112.13,154679000,3179.99,3187.24,3074.15,3078.1,4512200,499.99,504.66,483.31,483.86,4394900,1542.48,1554.37,1511.59,1512.09,1106400,439.87,457.79,435.31,441.76,72279300
9/17/2020,258.28,261.5,250.19,254.82,31281400,109.72,112.2,108.71,110.34,178011000,3009.25,3029.43,2972.55,3008.73,6449100,475.16,478.4,463.27,470.2,5379300,1485.81,1498.66,1462.46,1487.04,2000400,415.6,437.79,408,423.43,76779200
9/18/2020,258.4,259.2,250.05,252.53,28130800,110.4,110.88,106.09,106.84,287104900,3031.74,3037.8,2905.54,2954.91,8892600,472.51,479.4,458.6,469.96,6717700,1488.3,1495.2,1431.62,1451.09,3152800,447.94,451,428.8,442.15,86406800
9/21/2020,247.54,249.95,244.13,248.15,24709400,104.54,110.19,103.1,110.08,195713800,2906.5,2962,2871,2960.47,6117900,467.69,487.78,466.32,487.35,5457500,1431.62,1440.06,1402.68,1430.14,2845400,453.13,455.68,407.07,449.39,109476800
9/22/2020,253.31,255.32,248.22,254.75,30293100,112.68,112.86,109.16,111.81,183055400,3033.84,3133.99,3000.2,3128.99,6948800,489.01,491.82,479.26,491.17,3482300,1450.32,1463.97,1429.5,1459.82,1697500,429.6,437.76,417.6,424.23,79580800
9/23/2020,255.26,257.99,248.15,249.02,19641300,111.62,112.11,106.77,107.12,150718700,3120.43,3127,2992.38,2999.86,5652700,491.04,491.04,469,470.61,3726400,1452.09,1453.08,1402.68,1409.39,1886300,405.16,412.15,375.88,380.36,95074200
9/24/2020,246.5,252.24,245.62,249.53,20006800,105.17,110.25,105,108.22,167743300,2977.79,3069.3,2965,3019.79,5529400,470.53,477,467.82,473.08,3727200,1402.68,1437.99,1402.15,1422.86,1727600,363.8,399.5,351.3,387.79,96561100
9/25/2020,249.4,255.75,246.61,254.82,18351300,108.43,112.44,107.67,112.28,149981400,3054.86,3101.54,2999,3095.13,4615200,474.39,484.87,468.03,482.88,3769400,1425.05,1445.94,1407.68,1439.06,1516300,393.47,408.73,391.3,407.34,67208500
9/28/2020,259.4,259.6,254.82,256.82,18826300,115.01,115.32,112.78,114.96,137672400,3148.85,3175.04,3117.17,3174.05,4224200,489.11,492,477.88,490.65,4773500,1471.99,1472.99,1446.28,1458.66,1539200,424.62,428.08,415.55,421.2,49719600
9/29/2020,257.81,263.33,256.9,261.79,20200200,114.55,115.31,113.57,114.09,99382200,3175.39,3188.26,3132.54,3144.88,3495800,489.5,496.29,486.53,493.48,3541500,1463.91,1472,1454,1466.02,1590800,416,428.5,411.6,419.07,50219300
9/30/2020,261.98,266.08,260.1,261.9,20105800,113.79,117.26,113.62,115.81,142675200,3141.14,3212.88,3133.99,3148.73,4883400,492.57,504.63,489.27,500.03,4631100,1460.94,1486.2,1455.76,1465.6,2045400,421.32,433.93,420.47,429.01,48145600
10/1/2020,265.35,268.33,264.8,266.63,20009800,117.64,117.72,115.83,116.79,116120400,3208,3224,3172,3221.26,4971900,506.03,529.55,503.6,527.51,8153700,1483.66,1495.07,1476.8,1487.9,1644200,440.76,448.88,434.42,448.16,50741500
10/2/2020,261.21,265.15,259.18,259.94,16367600,112.89,115.37,112.22,113.02,144712000,3153.63,3195.8,3123,3125,5613100,516.43,526.37,502.7,503.06,6071200,1459.63,1479.03,1447.35,1455.6,1561100,421.39,439.13,415,415.09,71430000
10/5/2020,262.2,264.87,260.84,264.65,12822300,113.91,116.65,113.55,116.5,106243800,3145.84,3202.53,3140.85,3199.2,3775300,506.8,520.99,501.7,520.65,4088100,1462.65,1484.7,1460.09,1482.83,1080100,423.35,433.64,419.33,425.68,44722800
10/6/2020,261.78,265.69,258.24,258.66,18696900,115.7,116.12,112.25,113.16,161498200,3165,3182,3090,3099.96,5086900,518.72,521.82,504.16,505.87,4199000,1475.5,1484.52,1445.01,1451.02,1304800,423.79,428.78,406.05,413.98,49146300
10/7/2020,259.21,260.18,254.82,258.12,23133400,114.62,115.55,114.13,115.08,96849000,3135,3200,3132.39,3195.69,4309400,518,536.49,515.82,534.66,7988700,1459.31,1468.97,1433.23,1459.14,1805400,419.87,429.9,413.85,425.3,43127700
10/8/2020,259.75,264.62,259.15,263.76,16312800,116.25,116.4,114.59,114.97,83477200,3224.99,3233.29,3174.99,3190.55,3174100,533.48,535,524.15,531.79,5386500,1465.45,1488.03,1465.45,1483.43,1303800,438.44,439,425.3,425.92,40421100
10/9/2020,264.52,264.75,262.17,264.45,14107800,115.28,117,114.92,116.97,100506900,3210,3288.99,3197.83,3286.65,4907900,537.83,544.28,535,539.44,4781300,1492.86,1511.85,1487,1510.45,1648300,430.13,434.59,426.46,434,28925700
10/12/2020,270.2,280.18,267.87,275.75,31019300,120.06,125.18,119.28,124.4,240226800,3349.94,3496.24,3339.55,3442.93,8364200,548.81,551.81,538.24,539.81,5391100,1538,1588.42,1529.3,1564.59,2767200,442,448.74,438.58,442.3,38791100
10/13/2020,277.58,279.1,273.39,276.14,18063300,125.27,125.39,119.65,121.1,262330500,3467.99,3492.38,3424.22,3443.63,5744700,540.56,557.65,537.2,554.09,5602500,1577.01,1585.16,1558.63,1567.07,1953600,443.35,448.89,436.6,446.65,34463700
10/14/2020,277.62,278.75,271.5,271.82,15601200,121,123.03,119.62,121.19,151062300,3447,3464.88,3340,3363.71,5828900,562.61,572.49,541,541.45,9510100,1574.6,1583.85,1545.9,1563.44,1659200,449.78,465.9,447.35,461.3,48045400
10/15/2020,267.6,269.04,263.67,266.72,15416100,118.72,121.2,118.15,120.71,112559200,3292.01,3355.88,3280,3338.65,5223400,545.52,551.22,535.1,541.94,5113100,1544.5,1571.4,1541.13,1555.47,1560500,450.31,456.57,442.5,448.88,35672400
10/16/2020,267.38,271.37,265.3,265.93,16622700,121.28,121.55,118.81,119.02,115393800,3363.23,3399.66,3160,3272.71,6474400,549.5,554.33,530.03,530.79,6347400,1561.83,1577.71,1557.66,1567.7,1709700,454.44,455.95,438.85,439.67,32775900
10/19/2020,265.53,268.55,259.88,261.4,13587000,119.96,120.42,115.66,115.98,120639300,3299.61,3329,3192.74,3207.21,5223600,537.07,541.8,525.38,530.72,7567500,1575.93,1583.93,1522.92,1529.95,1486700,446.24,447,428.87,430.83,36287800
10/20/2020,263.06,269.7,262.88,267.56,18684400,116.2,118.98,115.63,117.51,124004200,3222.28,3266,3192.01,3217.01,4495700,528.14,533.78,522.26,525.42,9930700,1523.11,1573.84,1520.5,1551.08,2083500,431.75,431.75,419.05,421.94,31444700
10/21/2020,279.56,283.05,276.37,278.73,28955400,116.67,118.71,116.45,116.87,89424000,3212.5,3233.88,3160,3184.94,4577500,501.03,506.85,488.25,489.05,17374700,1569.85,1615.14,1567.14,1585.99,3014900,422.7,432.95,421.25,422.64,31623000
10/22/2020,279.87,282.45,275.04,278.12,15696381,117.45,118.04,114.59,115.75,100137943,3189.87,3198.75,3121.94,3176.4,3978890,494.69,493.82,482,485.23,6741238,1585,1613.15,1577.48,1606.66,1408467,441.92,445.23,424.51,425.79,39030294
10/23/2020,278.8,285.24,276.82,284.79,17535200,116.39,116.55,114.28,115.04,82572600,3191,3205.33,3140,3204.4,3466700,488.11,490.06,481.35,488.28,4927900,1615.05,1634.12,1611.91,1632.98,1527400,421.84,422.89,407.38,420.63,33717000
10/26/2020,283.16,285.23,274.26,277.11,21322900,114.01,116.55,112.88,115.05,111850700,3198.74,3282.98,3153.3,3207.04,5901200,487.03,496.82,478.9,488.24,6186100,1615,1629.58,1567.78,1584.29,1791300,411.63,425.76,410,420.28,28239200
10/27/2020,278.76,284.51,276.31,283.29,16287200,115.49,117.28,114.54,116.6,92276800,3224.94,3291.66,3211.3,3286.33,4291000,490.01,490.49,482.93,488.93,3627200,1588.93,1602,1576.99,1598.88,1295100,423.76,430.5,420.1,424.68,22686500
10/28/2020,278.79,278.79,267.26,267.67,23121800,115.05,115.43,111.1,111.2,143937800,3249.3,3264.02,3162.47,3162.78,5588300,486.36,494,483.28,486.24,5992700,1550.01,1553.81,1508.48,1510.8,2258700,416.48,418.6,406,406.02,25451400
10/29/2020,276.55,283.6,273.78,280.83,32368100,112.37,116.93,112.2,115.32,146129200,3201.27,3257.25,3164,3211.01,6596500,488.5,513.9,479.34,504.21,11120700,1517.02,1588.74,1516.55,1556.88,2770300,409.96,418.06,406.46,410.83,22655300
10/30/2020,274.5,276.7,259.1,263.11,47247800,111.06,111.99,107.72,108.86,190272600,3157.75,3167,3019,3036.15,8386400,502.01,505.88,472.21,475.74,7807900,1667.44,1681.32,1601.57,1616.11,4993900,406.9,407.59,379.11,388.04,42511300
11/2/2020,264.6,270.47,257.34,261.36,27133400,109.11,110.68,107.32,108.77,122515100,3061.74,3079.71,2950.12,3004.48,7241400,478.87,486.3,475,484.12,4399200,1623.54,1658.24,1614.24,1624.32,2208700,394,406.98,392.3,400.51,28918100
11/3/2020,263.16,270.05,260.89,265.3,17130883,109.66,111.46,108.73,110.44,104027423,3018.53,3074.9,2981.12,3048.41,4739013,484.93,495.3,479.72,487.22,3493563,1630.76,1659,1612.11,1645.66,1440330,409.73,427.76,406.69,423.9,33671650
11/4/2020,281,288.94,278.62,287.38,35364400,113.94,115.39,112.16,114.75,138235500,3159.99,3244.85,3139.73,3241.16,6839000,495.36,507.73,493.98,496.95,5137300,1705.58,1770.03,1703,1745.85,3567100,430.62,435.4,417.1,420.98,32143100
11/5/2020,291.9,297.38,288.95,294.68,23823600,117.75,119.41,116.67,118.82,126387100,3319.97,3366.8,3288.88,3322,5789300,506.56,518.73,503.45,513.76,5372800,1770.45,1791.82,1741.03,1762.5,1987900,428.3,440,424,438.09,28414500
11/6/2020,293.95,294.6,288.06,293.41,13891000,118.32,119.2,116.13,118.69,114457900,3304.64,3322,3232,3311.37,4647300,515,515.21,502.51,514.73,4236300,1751.34,1768.5,1736.68,1759.73,1431100,436.1,436.57,424.28,429.95,21706000
11/9/2020,289.87,292.58,278.53,278.77,25117700,120.5,121.99,116.05,116.32,154515300,3231.03,3289,3112.11,3143.74,7190400,485.54,495.85,467.26,470.5,10419700,1795.98,1816.89,1757.55,1761.42,2672000,439.5,452.5,421,421.26,34833000
11/10/2020,273.1,274,264,272.43,29067700,115.55,117.59,114.13,115.97,138023400,3095.02,3114,3019.48,3035.02,6591000,470.95,484.6,463.41,480.24,8306100,1729.77,1759.38,1716.12,1737.72,2151100,420.09,420.09,396.03,410.36,30284200
11/11/2020,273.47,278.4,272.48,276.48,14957000,117.19,119.63,116.44,119.49,112295000,3061.78,3139.15,3050,3137.39,4366900,483,491.68,478.26,490.76,5460500,1748.4,1762.9,1743.06,1747.23,1591900,416.45,418.7,410.58,417.13,17357700
11/12/2020,277.18,279.75,274.43,275.08,12899500,119.62,120.53,118.57,119.21,103162300,3159.95,3175.88,3086.05,3110.28,4362000,491,496.52,480.43,486.77,5063700,1742,1764.98,1737.97,1742.82,1323700,415.05,423,409.52,411.76,19855100
11/13/2020,277.72,277.76,273.1,276.95,10391200,119.44,119.67,117.87,119.26,81581900,3122,3141.72,3085.39,3128.81,3756200,486.77,488.94,477.8,482.84,3002700,1748,1777.13,1735.98,1772.26,1487200,410.85,412.53,401.66,408.5,19771100
